question_id,option_order,option_text
math-what-is-53-0042,0,73
math-what-is-53-0042,1,70
math-what-is-53-0042,2,80
math-what-is-53-0042,3,71
math-what-is-54-0043,0,75
math-what-is-54-0043,1,72
math-what-is-54-0043,2,82
math-what-is-54-0043,3,73
math-what-is-55-0044,0,75
math-what-is-55-0044,1,74
math-what-is-55-0044,2,84
math-what-is-55-0044,3,77
math-what-is-56-0045,0,62
math-what-is-56-0045,1,63
math-what-is-56-0045,2,65
math-what-is-56-0045,3,72
math-what-is-57-0046,0,65
math-what-is-57-0046,1,67
math-what-is-57-0046,2,64
math-what-is-57-0046,3,74
math-what-is-58-0047,0,76
math-what-is-58-0047,1,67
math-what-is-58-0047,2,66
math-what-is-58-0047,3,69
math-what-is-59-0048,0,78
math-what-is-59-0048,1,69
math-what-is-59-0048,2,71
math-what-is-59-0048,3,68
math-what-is-60-0049,0,70
math-what-is-60-0049,1,73
math-what-is-60-0049,2,80
math-what-is-60-0049,3,71
math-what-is-61-0050,0,73
math-what-is-61-0050,1,82
math-what-is-61-0050,2,72
math-what-is-61-0050,3,75
math-what-is-62-0051,0,84
math-what-is-62-0051,1,75
math-what-is-62-0051,2,77
math-what-is-62-0051,3,74
math-what-is-63-0052,0,79
math-what-is-63-0052,1,76
math-what-is-63-0052,2,77
math-what-is-63-0052,3,86
math-what-is-64-0053,0,81
math-what-is-64-0053,1,78
math-what-is-64-0053,2,79
math-what-is-64-0053,3,88
math-what-is-65-0054,0,80
math-what-is-65-0054,1,83
math-what-is-65-0054,2,81
math-what-is-65-0054,3,90
math-what-is-66-0055,0,82
math-what-is-66-0055,1,92
math-what-is-66-0055,2,83
math-what-is-66-0055,3,85
math-what-is-67-0056,0,85
math-what-is-67-0056,1,94
math-what-is-67-0056,2,87
math-what-is-67-0056,3,84
math-what-is-68-0057,0,96
math-what-is-68-0057,1,89
math-what-is-68-0057,2,87
math-what-is-68-0057,3,86
math-what-is-69-0058,0,98
math-what-is-69-0058,1,88
math-what-is-69-0058,2,91
math-what-is-69-0058,3,89
math-what-is-70-0059,0,79
math-what-is-70-0059,1,77
math-what-is-70-0059,2,86
math-what-is-70-0059,3,76
math-what-is-71-0060,0,79
math-what-is-71-0060,1,88
math-what-is-71-0060,2,81
math-what-is-71-0060,3,78
math-what-is-72-0061,0,90
math-what-is-72-0061,1,81
math-what-is-72-0061,2,80
math-what-is-72-0061,3,83
math-what-is-73-0062,0,82
math-what-is-73-0062,1,92
math-what-is-73-0062,2,85
math-what-is-73-0062,3,83
math-what-is-74-0063,0,85
math-what-is-74-0063,1,84
math-what-is-74-0063,2,94
math-what-is-74-0063,3,87
math-what-is-75-0064,0,89
math-what-is-75-0064,1,86
math-what-is-75-0064,2,96
math-what-is-75-0064,3,87
math-what-is-76-0065,0,89
math-what-is-76-0065,1,98
math-what-is-76-0065,2,91
math-what-is-76-0065,3,88
math-what-is-77-0066,0,100
math-what-is-77-0066,1,90
math-what-is-77-0066,2,93
math-what-is-77-0066,3,91
math-what-is-78-0067,0,93
math-what-is-78-0067,1,95
math-what-is-78-0067,2,102
math-what-is-78-0067,3,92
math-what-is-79-0068,0,104
math-what-is-79-0068,1,94
math-what-is-79-0068,2,97
math-what-is-79-0068,3,95
math-what-is-30-0069,0,17
math-what-is-30-0069,1,25
math-what-is-30-0069,2,18
math-what-is-30-0069,3,15
math-what-is-31-0070,0,25
math-what-is-31-0070,1,17
math-what-is-31-0070,2,15
math-what-is-31-0070,3,18
math-what-is-32-0071,0,15
math-what-is-32-0071,1,25
math-what-is-32-0071,2,18
math-what-is-32-0071,3,17
math-what-is-33-0072,0,28
math-what-is-33-0072,1,36
math-what-is-33-0072,2,26
math-what-is-33-0072,3,29
math-what-is-34-0073,0,36
math-what-is-34-0073,1,26
math-what-is-34-0073,2,28
math-what-is-34-0073,3,29
math-what-is-35-0074,0,28
math-what-is-35-0074,1,29
math-what-is-35-0074,2,26
math-what-is-35-0074,3,36
math-what-is-36-0075,0,29
math-what-is-36-0075,1,36
math-what-is-36-0075,2,26
math-what-is-36-0075,3,28
math-what-is-37-0076,0,36
math-what-is-37-0076,1,29
math-what-is-37-0076,2,26
math-what-is-37-0076,3,28
math-what-is-38-0077,0,36
math-what-is-38-0077,1,29
math-what-is-38-0077,2,28
math-what-is-38-0077,3,26
math-what-is-39-0078,0,29
math-what-is-39-0078,1,26
math-what-is-39-0078,2,28
math-what-is-39-0078,3,36
math-what-is-40-0079,0,28
math-what-is-40-0079,1,36
math-what-is-40-0079,2,26
math-what-is-40-0079,3,29
math-what-is-41-0080,0,28
math-what-is-41-0080,1,26
math-what-is-41-0080,2,29
math-what-is-41-0080,3,36
math-what-is-42-0081,0,36
math-what-is-42-0081,1,29
math-what-is-42-0081,2,28
math-what-is-42-0081,3,26
math-what-is-43-0082,0,26
math-what-is-43-0082,1,29
math-what-is-43-0082,2,36
math-what-is-43-0082,3,28
math-what-is-44-0083,0,39
math-what-is-44-0083,1,47
math-what-is-44-0083,2,37
math-what-is-44-0083,3,40
math-what-is-45-0084,0,40
math-what-is-45-0084,1,39
math-what-is-45-0084,2,47
math-what-is-45-0084,3,37
math-what-is-46-0085,0,37
math-what-is-46-0085,1,39
math-what-is-46-0085,2,40
math-what-is-46-0085,3,47
math-what-is-47-0086,0,39
math-what-is-47-0086,1,40
math-what-is-47-0086,2,47
math-what-is-47-0086,3,37
math-what-is-48-0087,0,37
math-what-is-48-0087,1,47
math-what-is-48-0087,2,40
math-what-is-48-0087,3,39
math-what-is-49-0088,0,47
math-what-is-49-0088,1,39
math-what-is-49-0088,2,37
math-what-is-49-0088,3,40
math-what-is-50-0089,0,37
math-what-is-50-0089,1,40
math-what-is-50-0089,2,47
math-what-is-50-0089,3,39
math-what-is-51-0090,0,37
math-what-is-51-0090,1,47
math-what-is-51-0090,2,39
math-what-is-51-0090,3,40
math-what-is-52-0091,0,47
math-what-is-52-0091,1,39
math-what-is-52-0091,2,40
math-what-is-52-0091,3,37
math-what-is-53-0092,0,47
math-what-is-53-0092,1,40
math-what-is-53-0092,2,37
math-what-is-53-0092,3,39
math-what-is-54-0093,0,37
math-what-is-54-0093,1,47
math-what-is-54-0093,2,39
math-what-is-54-0093,3,40
math-what-is-55-0094,0,50
math-what-is-55-0094,1,48
math-what-is-55-0094,2,51
math-what-is-55-0094,3,58
math-what-is-56-0095,0,48
math-what-is-56-0095,1,50
math-what-is-56-0095,2,58
math-what-is-56-0095,3,51
math-what-is-57-0096,0,50
math-what-is-57-0096,1,51
math-what-is-57-0096,2,48
math-what-is-57-0096,3,58
math-what-is-58-0097,0,51
math-what-is-58-0097,1,48
math-what-is-58-0097,2,50
math-what-is-58-0097,3,58
math-what-is-59-0098,0,48
math-what-is-59-0098,1,51
math-what-is-59-0098,2,58
math-what-is-59-0098,3,50
math-what-is-60-0099,0,48
math-what-is-60-0099,1,50
math-what-is-60-0099,2,51
math-what-is-60-0099,3,58
math-what-is-61-0100,0,58
math-what-is-61-0100,1,50
math-what-is-61-0100,2,51
math-what-is-61-0100,3,48
science-which-part-of-your-0001,0,Stomach
science-which-part-of-your-0001,1,Heart
science-which-part-of-your-0001,2,Lungs
science-which-part-of-your-0001,3,Liver
science-which-body-part-helps-0002,0,Wrist
science-which-body-part-helps-0002,1,Toes
science-which-body-part-helps-0002,2,Nose
science-which-body-part-helps-0002,3,Shoulder
science-which-plant-part-takes-0003,0,Roots
science-which-plant-part-takes-0003,1,Petals
science-which-plant-part-takes-0003,2,Leaves
science-which-plant-part-takes-0003,3,Fruit
science-what-do-plants-need-0004,0,Plastic
science-what-do-plants-need-0004,1,Metal
science-what-do-plants-need-0004,2,Sunlight
science-what-do-plants-need-0004,3,Sand
science-what-weather-often-has-0005,0,Dry season
science-what-weather-often-has-0005,1,Thunderstorm
science-what-weather-often-has-0005,2,Calm day
science-what-weather-often-has-0005,3,Heat wave
science-what-gas-do-people-0006,0,Chlorine
science-what-gas-do-people-0006,1,Oxygen
science-what-gas-do-people-0006,2,Gold
science-what-gas-do-people-0006,3,Sand
science-what-season-comes-after-0007,0,Summer
science-what-season-comes-after-0007,1,Winter
science-what-season-comes-after-0007,2,Monsoon
science-what-season-comes-after-0007,3,Autumn
science-which-tool-measures-temperature-0008,0,Scale
science-which-tool-measures-temperature-0008,1,Thermometer
science-which-tool-measures-temperature-0008,2,Ruler
science-which-tool-measures-temperature-0008,3,Compass
science-what-state-of-matter-0009,0,Plasma
science-what-state-of-matter-0009,1,Gas
science-what-state-of-matter-0009,2,Solid
science-what-state-of-matter-0009,3,Liquid
science-what-state-of-matter-0010,0,Plasma
science-what-state-of-matter-0010,1,Gas
science-what-state-of-matter-0010,2,Solid
science-what-state-of-matter-0010,3,Liquid
science-what-state-of-matter-0011,0,Gas
science-what-state-of-matter-0011,1,Plasma
science-what-state-of-matter-0011,2,Liquid
science-what-state-of-matter-0011,3,Solid
science-what-state-of-matter-0012,0,Liquid
science-what-state-of-matter-0012,1,Gas
science-what-state-of-matter-0012,2,Plasma
science-what-state-of-matter-0012,3,Solid
science-what-state-of-matter-0013,0,Liquid
science-what-state-of-matter-0013,1,Gas
science-what-state-of-matter-0013,2,Plasma
science-what-state-of-matter-0013,3,Solid
science-what-state-of-matter-0014,0,Plasma
science-what-state-of-matter-0014,1,Gas
science-what-state-of-matter-0014,2,Solid
science-what-state-of-matter-0014,3,Liquid
science-what-state-of-matter-0015,0,Gas
science-what-state-of-matter-0015,1,Solid
science-what-state-of-matter-0015,2,Plasma
science-what-state-of-matter-0015,3,Liquid
science-what-state-of-matter-0016,0,Gas
science-what-state-of-matter-0016,1,Plasma
science-what-state-of-matter-0016,2,Solid
science-what-state-of-matter-0016,3,Liquid
science-what-state-of-matter-0017,0,Gas
science-what-state-of-matter-0017,1,Solid
science-what-state-of-matter-0017,2,Liquid
science-what-state-of-matter-0017,3,Plasma
science-what-state-of-matter-0018,0,Liquid
science-what-state-of-matter-0018,1,Gas
science-what-state-of-matter-0018,2,Plasma
science-what-state-of-matter-0018,3,Solid
science-what-state-of-matter-0019,0,Solid
science-what-state-of-matter-0019,1,Gas
science-what-state-of-matter-0019,2,Liquid
science-what-state-of-matter-0019,3,Plasma
science-what-state-of-matter-0020,0,Liquid
science-what-state-of-matter-0020,1,Solid
science-what-state-of-matter-0020,2,Plasma
science-what-state-of-matter-0020,3,Gas
science-what-state-of-matter-0021,0,Solid
science-what-state-of-matter-0021,1,Gas
science-what-state-of-matter-0021,2,Liquid
science-what-state-of-matter-0021,3,Plasma
science-what-state-of-matter-0022,0,Gas
science-what-state-of-matter-0022,1,Plasma
science-what-state-of-matter-0022,2,Liquid
science-what-state-of-matter-0022,3,Solid
science-what-state-of-matter-0023,0,Gas
science-what-state-of-matter-0023,1,Plasma
science-what-state-of-matter-0023,2,Solid
science-what-state-of-matter-0023,3,Liquid
science-what-state-of-matter-0024,0,Liquid
science-what-state-of-matter-0024,1,Plasma
science-what-state-of-matter-0024,2,Gas
science-what-state-of-matter-0024,3,Solid
science-what-state-of-matter-0025,0,Gas
science-what-state-of-matter-0025,1,Plasma
science-what-state-of-matter-0025,2,Solid
science-what-state-of-matter-0025,3,Liquid
science-what-state-of-matter-0026,0,Gas
science-what-state-of-matter-0026,1,Plasma
science-what-state-of-matter-0026,2,Liquid
science-what-state-of-matter-0026,3,Solid
science-what-state-of-matter-0027,0,Plasma
science-what-state-of-matter-0027,1,Liquid
science-what-state-of-matter-0027,2,Solid
science-what-state-of-matter-0027,3,Gas
science-what-state-of-matter-0028,0,Liquid
science-what-state-of-matter-0028,1,Solid
science-what-state-of-matter-0028,2,Plasma
science-what-state-of-matter-0028,3,Gas
science-what-state-of-matter-0029,0,Solid
science-what-state-of-matter-0029,1,Plasma
science-what-state-of-matter-0029,2,Liquid
science-what-state-of-matter-0029,3,Gas
science-what-state-of-matter-0030,0,Plasma
science-what-state-of-matter-0030,1,Solid
science-what-state-of-matter-0030,2,Liquid
science-what-state-of-matter-0030,3,Gas
science-what-state-of-matter-0031,0,Solid
science-what-state-of-matter-0031,1,Plasma
science-what-state-of-matter-0031,2,Liquid
science-what-state-of-matter-0031,3,Gas
science-what-state-of-matter-0032,0,Plasma
science-what-state-of-matter-0032,1,Solid
science-what-state-of-matter-0032,2,Liquid
science-what-state-of-matter-0032,3,Gas
science-what-state-of-matter-0033,0,Plasma
science-what-state-of-matter-0033,1,Liquid
science-what-state-of-matter-0033,2,Solid
science-what-state-of-matter-0033,3,Gas
science-what-state-of-matter-0034,0,Solid
science-what-state-of-matter-0034,1,Plasma
science-what-state-of-matter-0034,2,Gas
science-what-state-of-matter-0034,3,Liquid
science-what-state-of-matter-0035,0,Liquid
science-what-state-of-matter-0035,1,Gas
science-what-state-of-matter-0035,2,Solid
science-what-state-of-matter-0035,3,Plasma
science-what-state-of-matter-0036,0,Solid
science-what-state-of-matter-0036,1,Gas
science-what-state-of-matter-0036,2,Plasma
science-what-state-of-matter-0036,3,Liquid
science-what-state-of-matter-0037,0,Solid
science-what-state-of-matter-0037,1,Gas
science-what-state-of-matter-0037,2,Plasma
science-what-state-of-matter-0037,3,Liquid
science-what-state-of-matter-0038,0,Liquid
science-what-state-of-matter-0038,1,Gas
science-what-state-of-matter-0038,2,Solid
science-what-state-of-matter-0038,3,Plasma
science-what-state-of-matter-0039,0,Liquid
science-what-state-of-matter-0039,1,Gas
science-what-state-of-matter-0039,2,Plasma
science-what-state-of-matter-0039,3,Solid
science-what-state-of-matter-0040,0,Gas
science-what-state-of-matter-0040,1,Liquid
science-what-state-of-matter-0040,2,Plasma
science-what-state-of-matter-0040,3,Solid
science-what-state-of-matter-0041,0,Gas
science-what-state-of-matter-0041,1,Solid
science-what-state-of-matter-0041,2,Liquid
science-what-state-of-matter-0041,3,Plasma
science-what-state-of-matter-0042,0,Gas
science-what-state-of-matter-0042,1,Solid
science-what-state-of-matter-0042,2,Plasma
science-what-state-of-matter-0042,3,Liquid
science-what-state-of-matter-0043,0,Plasma
science-what-state-of-matter-0043,1,Solid
science-what-state-of-matter-0043,2,Liquid
science-what-state-of-matter-0043,3,Gas
science-what-state-of-matter-0044,0,Gas
science-what-state-of-matter-0044,1,Solid
science-what-state-of-matter-0044,2,Plasma
science-what-state-of-matter-0044,3,Liquid
science-which-sense-helps-you-0045,0,Eyes
science-which-sense-helps-you-0045,1,Nose
science-which-sense-helps-you-0045,2,Tongue
science-which-sense-helps-you-0045,3,Ears
science-which-sense-helps-you-0046,0,Eyes
science-which-sense-helps-you-0046,1,Ears
science-which-sense-helps-you-0046,2,Nose
science-which-sense-helps-you-0046,3,Tongue
science-which-sense-helps-you-0047,0,Ears
science-which-sense-helps-you-0047,1,Tongue
science-which-sense-helps-you-0047,2,Nose
science-which-sense-helps-you-0047,3,Eyes
science-which-sense-helps-you-0048,0,Nose
science-which-sense-helps-you-0048,1,Tongue
science-which-sense-helps-you-0048,2,Ears
science-which-sense-helps-you-0048,3,Eyes
science-which-sense-helps-you-0049,0,Ears
science-which-sense-helps-you-0049,1,Skin
science-which-sense-helps-you-0049,2,Nose
science-which-sense-helps-you-0049,3,Eyes
science-which-sense-helps-you-0050,0,Nose
science-which-sense-helps-you-0050,1,Ears
science-which-sense-helps-you-0050,2,Tongue
science-which-sense-helps-you-0050,3,Eyes
science-which-sense-helps-you-0051,0,Tongue
science-which-sense-helps-you-0051,1,Nose
science-which-sense-helps-you-0051,2,Eyes
science-which-sense-helps-you-0051,3,Ears
science-which-sense-helps-you-0052,0,Nose
science-which-sense-helps-you-0052,1,Eyes
science-which-sense-helps-you-0052,2,Tongue
science-which-sense-helps-you-0052,3,Ears
science-which-sense-helps-you-0053,0,Ears
science-which-sense-helps-you-0053,1,Nose
science-which-sense-helps-you-0053,2,Tongue
science-which-sense-helps-you-0053,3,Eyes
science-which-sense-helps-you-0054,0,Ears
science-which-sense-helps-you-0054,1,Nose
science-which-sense-helps-you-0054,2,Eyes
science-which-sense-helps-you-0054,3,Skin
science-what-number-planet-from-0055,0,1
science-what-number-planet-from-0055,1,3
science-what-number-planet-from-0055,2,2
science-what-number-planet-from-0055,3,4
science-what-number-planet-from-0056,0,6
science-what-number-planet-from-0056,1,4
science-what-number-planet-from-0056,2,7
science-what-number-planet-from-0056,3,5
science-what-number-planet-from-0057,0,6
science-what-number-planet-from-0057,1,4
science-what-number-planet-from-0057,2,8
science-what-number-planet-from-0057,3,7
science-what-number-planet-from-0058,0,1
science-what-number-planet-from-0058,1,8
science-what-number-planet-from-0058,2,4
science-what-number-planet-from-0058,3,7
science-is-sunlight-renewable-or-0059,0,Nonrenewable
science-is-sunlight-renewable-or-0059,1,Renewable
science-is-sunlight-renewable-or-0059,2,Chemical
science-is-sunlight-renewable-or-0059,3,Mechanical
science-is-wind-renewable-or-0060,0,Mechanical
science-is-wind-renewable-or-0060,1,Nonrenewable
science-is-wind-renewable-or-0060,2,Renewable
science-is-wind-renewable-or-0060,3,Chemical
science-is-moving-water-renewable-0061,0,Renewable
science-is-moving-water-renewable-0061,1,Mechanical
science-is-moving-water-renewable-0061,2,Nonrenewable
science-is-moving-water-renewable-0061,3,Chemical
science-is-coal-renewable-or-0062,0,Chemical
science-is-coal-renewable-or-0062,1,Nonrenewable
science-is-coal-renewable-or-0062,2,Mechanical
science-is-coal-renewable-or-0062,3,Renewable
science-is-oil-renewable-or-0063,0,Renewable
science-is-oil-renewable-or-0063,1,Mechanical
science-is-oil-renewable-or-0063,2,Chemical
science-is-oil-renewable-or-0063,3,Nonrenewable
science-is-natural-gas-renewable-0064,0,Chemical
science-is-natural-gas-renewable-0064,1,Renewable
science-is-natural-gas-renewable-0064,2,Nonrenewable
science-is-natural-gas-renewable-0064,3,Mechanical
science-is-solar-power-renewable-0065,0,Mechanical
science-is-solar-power-renewable-0065,1,Renewable
science-is-solar-power-renewable-0065,2,Nonrenewable
science-is-solar-power-renewable-0065,3,Chemical
science-is-geothermal-heat-renewable-0066,0,Nonrenewable
science-is-geothermal-heat-renewable-0066,1,Mechanical
science-is-geothermal-heat-renewable-0066,2,Renewable
science-is-geothermal-heat-renewable-0066,3,Chemical
science-is-propane-renewable-or-0067,0,Renewable
science-is-propane-renewable-or-0067,1,Chemical
science-is-propane-renewable-or-0067,2,Nonrenewable
science-is-propane-renewable-or-0067,3,Mechanical
science-is-gasoline-renewable-or-0068,0,Renewable
science-is-gasoline-renewable-or-0068,1,Nonrenewable
science-is-gasoline-renewable-or-0068,2,Chemical
science-is-gasoline-renewable-or-0068,3,Mechanical
science-is-hydroelectric-power-renewable-0069,0,Mechanical
science-is-hydroelectric-power-renewable-0069,1,Nonrenewable
science-is-hydroelectric-power-renewable-0069,2,Chemical
science-is-hydroelectric-power-renewable-0069,3,Renewable
science-is-biomass-renewable-or-0070,0,Mechanical
science-is-biomass-renewable-or-0070,1,Chemical
science-is-biomass-renewable-or-0070,2,Nonrenewable
science-is-biomass-renewable-or-0070,3,Renewable
science-science-check-2-what-0071,0,2
science-science-check-2-what-0071,1,1
science-science-check-2-what-0071,2,3
science-science-check-2-what-0071,3,4
science-science-check-6-what-0072,0,6
science-science-check-6-what-0072,1,5
science-science-check-6-what-0072,2,7
science-science-check-6-what-0072,3,4
science-science-check-7-what-0073,0,7
science-science-check-7-what-0073,1,6
science-science-check-7-what-0073,2,8
science-science-check-7-what-0073,3,4
science-science-check-10-what-0074,0,2
science-science-check-10-what-0074,1,1
science-science-check-10-what-0074,2,3
science-science-check-10-what-0074,3,4
science-science-check-14-what-0075,0,6
science-science-check-14-what-0075,1,5
science-science-check-14-what-0075,2,7
science-science-check-14-what-0075,3,4
science-science-check-15-what-0076,0,7
science-science-check-15-what-0076,1,6
science-science-check-15-what-0076,2,8
science-science-check-15-what-0076,3,4
science-science-check-18-what-0077,0,2
science-science-check-18-what-0077,1,1
science-science-check-18-what-0077,2,3
science-science-check-18-what-0077,3,4
science-science-check-22-what-0078,0,6
science-science-check-22-what-0078,1,5
science-science-check-22-what-0078,2,7
science-science-check-22-what-0078,3,4
science-science-check-23-what-0079,0,7
science-science-check-23-what-0079,1,6
science-science-check-23-what-0079,2,8
science-science-check-23-what-0079,3,4
science-science-check-26-what-0080,0,2
science-science-check-26-what-0080,1,1
science-science-check-26-what-0080,2,3
science-science-check-26-what-0080,3,4
science-science-check-30-what-0081,0,6
science-science-check-30-what-0081,1,5
science-science-check-30-what-0081,2,7
science-science-check-30-what-0081,3,4
science-science-check-31-what-0082,0,7
science-science-check-31-what-0082,1,6
science-science-check-31-what-0082,2,8
science-science-check-31-what-0082,3,4
science-science-check-34-what-0083,0,2
science-science-check-34-what-0083,1,1
science-science-check-34-what-0083,2,3
science-science-check-34-what-0083,3,4
science-science-check-38-what-0084,0,6
science-science-check-38-what-0084,1,5
science-science-check-38-what-0084,2,7
science-science-check-38-what-0084,3,4
science-science-check-39-what-0085,0,7
science-science-check-39-what-0085,1,6
science-science-check-39-what-0085,2,8
science-science-check-39-what-0085,3,4
science-science-check-42-what-0086,0,2
science-science-check-42-what-0086,1,1
science-science-check-42-what-0086,2,3
science-science-check-42-what-0086,3,4
science-science-check-46-what-0087,0,6
science-science-check-46-what-0087,1,5
science-science-check-46-what-0087,2,7
science-science-check-46-what-0087,3,4
science-science-check-47-what-0088,0,7
science-science-check-47-what-0088,1,6
science-science-check-47-what-0088,2,8
science-science-check-47-what-0088,3,4
science-science-check-50-what-0089,0,2
science-science-check-50-what-0089,1,1
science-science-check-50-what-0089,2,3
science-science-check-50-what-0089,3,4
science-science-check-54-what-0090,0,6
science-science-check-54-what-0090,1,5
science-science-check-54-what-0090,2,7
science-science-check-54-what-0090,3,4
science-science-check-55-what-0091,0,7
science-science-check-55-what-0091,1,6
science-science-check-55-what-0091,2,8
science-science-check-55-what-0091,3,4
science-science-check-58-what-0092,0,2
science-science-check-58-what-0092,1,1
science-science-check-58-what-0092,2,3
science-science-check-58-what-0092,3,4
science-science-check-62-what-0093,0,6
science-science-check-62-what-0093,1,5
science-science-check-62-what-0093,2,7
science-science-check-62-what-0093,3,4
science-science-check-63-what-0094,0,7
science-science-check-63-what-0094,1,6
science-science-check-63-what-0094,2,8
science-science-check-63-what-0094,3,4
science-science-check-66-what-0095,0,2
science-science-check-66-what-0095,1,1
science-science-check-66-what-0095,2,3
science-science-check-66-what-0095,3,4
science-science-check-70-what-0096,0,6
science-science-check-70-what-0096,1,5
science-science-check-70-what-0096,2,7
science-science-check-70-what-0096,3,4
science-science-check-71-what-0097,0,7
science-science-check-71-what-0097,1,6
science-science-check-71-what-0097,2,8
science-science-check-71-what-0097,3,4
science-science-check-74-what-0098,0,2
science-science-check-74-what-0098,1,1
science-science-check-74-what-0098,2,3
science-science-check-74-what-0098,3,4
science-science-check-78-what-0099,0,6
science-science-check-78-what-0099,1,5
science-science-check-78-what-0099,2,7
science-science-check-78-what-0099,3,4
science-science-check-79-what-0100,0,7
